============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:09 900] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 910] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 920] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 931] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 941] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 951] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 961] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 972] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 982] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 992] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 002] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 012] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 022] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 032] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 043] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 053] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 063] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 073] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 082] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 093] isr_1conn  239  netperf:  72  
[2018/05/22 12:57:10 093] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 104] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 114] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 124] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 134] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 145] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 155] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 164] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 174] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 184] isr_1conn  1693 ISR_MSG_AUW  320  2  
